,Release,Currency,Symbol,Programming language of implementation,Notes,Date,Close,Market Cap
67,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-28,8245.92,148122503616.0
68,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-27,8251.85,148212635834.0
69,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-26,8118.97,145812492488.0
70,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-25,8486.99,152404005091.0
71,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-24,8620.57,154785821876.0
72,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-23,9729.32,174674558023.0
73,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-22,10070.39,180784051699.0
74,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-21,10019.72,179853287294.0
75,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-20,10181.64,182738947696.0
76,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-19,10266.41,184240949577.0
77,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-18,10198.25,182998899156.0
78,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-17,10241.27,183748515828.0
79,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-16,10276.79,184366827555.0
80,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-15,10347.71,185618174384.0
81,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-14,10358.05,185784300332.0
82,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-13,10360.55,185809163035.0
83,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-12,10410.13,186678943059.0
84,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-11,10178.37,182502788242.0
85,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-10,10115.98,181360731383.0
86,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-09,10334.97,185263578990.0
87,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-08,10441.28,187150078007.0
88,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-07,10517.25,188488525926.0
89,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-06,10353.3,185530405363.0
90,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-05,10575.53,189492405383.0
